Unnamed: 0,credit_rating,debt_to_equity,energy_capacity,esg_rating,region,cash_flow_1,cash_flow_2,cash_flow_3,bond_value
0,AAA,-0.3640631967799839,3.277332848212269,57.45973878716614,North America,16073.383072407927,18258.53647777502,19058.83886768836,48332.756295589556
1,AA,-0.0983351967216363,17.823870548768987,22.87158014600621,North America,24916.36067853556,24239.463190680788,24424.15472374907,66814.2781315619
2,B,0.938648474747822,25.360441288173035,42.12554021416951,North America,39714.27958945694,35392.06910589223,0.0,69924.77340119911
3,A,2.3323796664690204,38.748027081358174,50.833794335190106,Europe,38811.98995200567,51241.90236870167,62943.802596845526,137814.93921267122
4,AAA,1.367557386183672,14.223886243596615,21.952435187161846,Asia,24840.65266986683,29598.165601958222,35355.80519429894,81045.84700994127
5,AA,1.1368350927727957,45.55922957458825,4.937206959983998,North America,41319.949489916806,49554.86094289314,56756.581917090465,133328.5219477478
6,BB,0.3263451213421254,29.20236187463768,2.679367932903365,Asia,51735.14750300854,45192.42581510709,41922.076983773804,126476.29777492984
7,AA,-0.0719588304792808,20.47676712679069,24.087961927671987,Europe,26603.16155964238,26006.16033281914,24822.650999537625,70367.43761451544
8,A,1.404687140372959,24.008971886418877,39.44228298736865,North America,32354.247346643187,33708.72216620993,33763.059333632526,90554.1736813105
9,BBB,0.5449982504716641,11.235985403599988,69.10405326675796,Europe,34997.69207752847,38896.66869847485,41406.62588827274,104380.16070588183
10,AA,0.0651275309074614,1.546080060797024,46.07348360652512,North America,19122.966004071437,21097.72571382875,23420.089517628796,57579.76161247186
11,BBB,1.6389276850916747,15.335164404193351,79.61623579907223,North America,35962.57232814104,44294.36005581732,52442.3579813989,119728.0397639845
12,A,1.1346935261136886,15.15421046473768,98.7510694143607,North America,33139.17278123042,37865.59340456685,42789.81433294824,102869.77682673576
13,AAA,1.4387555299064274,63.24740310693959,9.960563355062312,Asia,43203.45395390412,56172.35304603735,69168.82031877733,151846.7543473023
14,AAA,2.4157094082913804,19.682163631664015,22.947362664237424,North America,29788.617814996916,36861.70344140498,44341.707148783506,100108.79767048295
15,AA,1.0777282778930388,47.03434202365923,64.23482509181329,North America,33282.74176261984,40582.04209208384,45986.57681293456,108231.89185004725
16,CCC,1.0312156013061642,9.31354297334124,86.84997715727143,Europe,48137.76558040129,58410.74851355453,0.0,98825.76178954728
17,BBB,0.9997069364021324,5.888233588741833,38.20761706629489,North America,28458.815325331383,35447.143710977616,41992.92150959956,95530.30238834156
18,AAA,1.1266565202352925,31.01776508679347,80.47276901825472,Asia,30725.5865694906,30890.556378607533,31058.04981946881,84110.21981200311
19,BB,3.05630971186476,30.654832436065128,76.39331311400674,North America,44046.88836918133,52771.13646167477,60920.90479888911,142440.1619787669
20,AAA,1.360999850190262,28.89754319493646,28.518306147155194,Europe,28783.110077842928,28287.24488337496,28571.9093822874,77751.34034825866
21,AA,0.719165090575236,11.129205664203209,94.07809462946844,North America,24836.119630367833,29202.26337459775,33144.231388189175,78771.9942330179
22,AA,2.0876026983011724,29.82176114465237,12.611885435600067,Asia,40789.27179466534,45072.05607992985,49262.7826150421,122283.65286909575
23,BB,-0.0832916183477816,23.197350725824204,83.50563851689964,Europe,42042.268730297685,36267.46928213613,34767.50591689074,102969.3984997619
24,BB,1.4096890179762438,43.19258419733799,96.0184082100546,Europe,55563.44748469926,68859.79476641986,80946.65318735108,185300.1952652827
25,A,2.113363728902455,28.05397587841845,12.45315490307103,Europe,42377.586159296414,46079.391026441146,48773.61227795274,124287.45197826605
26,BB,1.0948634269562731,43.96264796502945,86.41944768271486,Asia,56356.03732223119,65544.30367593376,75097.6382843774,177995.1955874033
27,AAA,2.3624873189023585,33.23027924928392,16.31154947135792,North America,34637.36067065337,43210.70797749095,50685.69374848784,115965.5564317017
28,CCC,0.7390611699127702,25.547122515151937,60.060489860306774,North America,41992.966315949925,35270.71116146551,0.0,71984.87600291421
29,AAA,1.258872167232328,5.973249099782678,43.88112845644888,Europe,21890.391306925812,28502.309081788844,34064.305115039744,76126.4537884062
30,BB,0.6922106360256792,22.921969497056217,55.74245405123587,North America,35406.224706923895,32759.382143982704,33012.27383290021,91951.18265713478
31,BBB,1.703879983730216,59.712158897750335,45.044537289559,Asia,49441.85153638043,68367.74690294337,87340.31385971303,184546.88644998422
32,AA,-0.5104062210344837,22.62834810172087,77.170640514114,North America,27029.129325646707,22290.222361344655,19993.16102757424,63230.76090142457
33,AA,1.3974161672590322,20.523282059183504,94.45378554044626,North America,33183.03964291992,37088.23086821639,40323.85166598712,100076.2727860348
34,A,1.2625584398223102,16.080269229200937,1.1357055447390296,Asia,39683.36195992504,47252.14151402529,53444.7883092583,126820.38091765658
35,BBB,-0.4349338382444778,35.821988667740634,22.433510662496083,North America,35357.494765705276,34257.24818507178,33211.00549880596,93435.05372838474
36,A,0.2993741978597377,27.940543373644623,51.23565241625712,North America,28565.773327576502,23321.10056162802,21039.806466046408,66533.39997789347
37,B,1.5367751564110228,14.55230636239108,62.3263719622947,Europe,47534.16587374383,58501.146334411205,0.0,98332.89841436935
38,A,2.4287703419733866,75.96925022048971,87.10033047682703,North America,53265.306501776715,76243.89340108735,103818.94651544216,209567.03164219216
39,AAA,0.372258306891119,6.074132259692464,25.81978468131918,North America,18475.263633342023,21049.626875964637,23428.644473962708,56926.66524088988
40,BBB,1.931308814265144,32.684254165833366,61.27455255898756,North America,38729.42393305421,44883.992296413555,51383.36471853338,121983.15215718377
41,CCC,1.6803290387700884,39.44613343101277,11.21489366925552,North America,54275.11733818928,67608.60966668332,0.0,113013.58990637829
42,BB,0.5003543653714657,36.641250844363995,13.340527502283406,Asia,52947.881034850056,54156.714732878136,55440.388810562814,147439.7824174556
43,AA,0.957927260432482,20.740270155603888,37.15511837795279,Europe,28251.799131796783,29002.530468999103,28597.413619734907,77916.14655435907
44,CCC,1.0162794116758302,10.99895905103407,68.84286137307863,North America,39782.203389806135,48323.95055956081,0.0,81719.06042526735
45,B,1.2442968923586435,45.567874772979536,93.7057387800283,Europe,60184.776924872385,74133.64793967467,0.0,124560.23919346093
46,AA,1.8620532922314057,12.659959074719437,87.65249258886223,Europe,33127.24377300848,42694.063215702845,52558.896646262336,115676.88092645904
47,B,1.471745090128226,43.30875956289654,10.314926138314684,Asia,62945.91402074491,78672.74016612726,0.0,131306.98402531465
48,AAA,1.3150344390365287,19.920081435649823,12.677993244579156,North America,28324.698069648693,31251.638799025197,33523.07703737664,84280.55492766722
49,AAA,1.879163901472407,28.22731700424137,15.914914823539949,Europe,32904.5333333569,35641.7111934784,36927.71257338973,95565.28005750396
50,CCC,1.461689322703287,63.82399884874663,76.19013629119073,Europe,62825.62919399331,83237.68599925665,0.0,135332.96748566857
51,AA,0.4959425934664425,19.31376529301135,80.6360295770617,North America,27731.280685742768,28035.785894355948,28459.9621993196,76424.81316870726
52,B,2.8273627912842287,14.815025920949475,3.226965827293249,Europe,52204.5944346839,70861.91827700763,0.0,113992.5101436968
53,AA,3.367472378413458,32.975213733700066,2.932351846174097,Asia,43563.3850018739,55112.57022814564,65232.79619866334,147828.2059412869
54,AAA,0.9809506376969652,21.230173737746497,70.1794286074863,Asia,24453.054504577976,25489.427691684145,26163.48913203211,69009.29126409475
55,BB,-0.2319186843119831,6.517379121245119,64.37256907583715,North America,28528.42347111727,31619.18603956593,36174.378963016534,87098.24958986507
56,CCC,2.65392298979927,81.99140367229883,8.092337476863598,Europe,77813.6742010034,113494.0508499648,0.0,177050.71089434772
57,AAA,0.869128691054017,15.34308391259313,88.4298018304863,North America,25385.827196979088,28594.705882676328,30013.514289326344,76040.02155344427
58,AAA,0.1577929285565753,25.39481535893068,71.45644593640695,Europe,24210.518222533097,19958.306928225335,16564.865864976666,55469.76307522385
59,CCC,1.9767120856873173,50.02875255826369,83.49617196914056,Asia,68796.69897203328,94070.32963930158,0.0,150845.2277187633
60,A,2.782551275248327,36.18076480021552,13.39790458909993,North America,42622.478837704664,55039.53422830991,67117.78022528617,148494.17910254266
61,B,0.5309589381294094,66.87066587490065,4.663935533624364,South America,70560.73197825828,83448.85501158988,0.0,142891.26856123452
62,AA,1.730737619230711,13.1591536065443,46.55018380229,North America,27441.219908405685,35344.62566242053,43768.61233024594,96002.08549815766
63,AAA,0.5041496519897368,15.686367108537688,0.3187553360222028,Europe,25074.92603257894,27700.661764616012,28792.91177493401,73878.59849147961
64,AAA,2.29793402285384,27.327943628175458,47.07265845356711,Europe,29177.36412498635,31553.860939999253,33135.50325000126,85031.94141867869
65,AA,1.9521860091520655,70.97323709013756,80.6830803442244,North America,45267.248060022226,62734.34025524676,81622.92095753316,170522.50876727502
66,AAA,0.6874405886748044,10.74090366246655,44.4250841278135,Europe,20193.643616292666,23118.188556454963,25335.44192663982,62086.62736022477
67,AAA,1.0298724604747826,63.73120844396705,24.513607250851425,Europe,34737.45085092372,42980.68826178592,50428.21800970374,115629.82852626918
68,B,1.4944422311533736,4.331729313255582,11.146488868087156,North America,37190.8390906582,49174.32046372689,0.0,80022.40499675102
69,A,1.3915317719225404,34.68548509756477,2.9009630512646156,North America,42089.19605644497,47803.055540922025,52332.00851689304,128650.085724731
70,CCC,2.2795750964236654,24.87087506731915,15.31279516719416,North America,50727.83540361269,55041.683296286305,0.0,98236.65348760056
71,AAA,1.0123802570637006,2.6089433395337354,57.753847097914736,Europe,19547.466868352178,25665.784162187258,29265.632836996603,67177.01192497699
